nama wisata,alamat,kabupaten,provinsi,harga_rp,kategori_harga,url_harga
Air Terjun Lalengan,"MR6R+7PX, Lalengan, Kec. Buko, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94881, Indonesia",Kabupaten Banggai Kepulauan,Sulawesi Tengah,50000.0,Mahal,https://luwukbanggai.com/petualangan-banggai-sulawesi-terbaik/
Tebingkai,"M7GR+HH8, Jl. Bukit Trikora, Tompudau, Tinangkung, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94885, Indonesia",Kabupaten Banggai Kepulauan,Sulawesi Tengah,50000.0,Mahal,https://luwukbanggai.com/petualangan-banggai-sulawesi-terbaik/
Pantai Desa Bahari,"8P97+W4, Bahari, Kabupaten Buton, Sulawesi Tenggara, Indonesia",Kabupaten Buton,Sulawesi Tenggara,0.0,Gratis,-
Permandian Lowi Malo,"7W8P+M44, Taubonto, Kec. Rarowatu, Kabupaten Bombana, Sulawesi Tenggara, Indonesia",Kabupaten Bombana,Sulawesi Tenggara,-,-,-
PANTAI LA DADO,"P73G+JC, Balobone, Kec. Mawasangka, Kabupaten Buton, Sulawesi Tenggara, Indonesia",Kabupaten Buton,Sulawesi Tenggara,-,-,-
Pantai Palahidu,"4265+C3G, Palahidu, Binongko, Kabupaten Wakatobi, Sulawesi Tenggara, Indonesia",Kabupaten Wakatobi,Sulawesi Tenggara,14000.0,Sedang,https://beautyofindonesia.com/id/wisata/wisata-alam/pantai-palahidu
Bukit tinggi TARANGGADING,"9R6G+Q2, Rangas, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju, Sulawesi Barat, Indonesia",Kabupaten Mamuju,Sulawesi Barat,-,-,-
Karampuang Island,"9V8H+9J7, Unnamed Road, Pulau, Karampuang",Kabupaten Sinjai,Sulawesi Selatan,20000.0,Mahal,https://karampuangisland.com/
Bukit Layang,"G3F4+3GR, Tenda, Kec. Hulonthalangi, Kabupaten Gorontalo, Gorontalo 96133, Indonesia",Kabupaten Gorontalo,Gorontalo,0.0,Gratis,-
Air Terjun Milango Lo Jini,"J49P+75, Lonuo, Kec. Tilongkabila, Kabupaten Bone Bolango, Gorontalo, Indonesia",Kabupaten Bone Bolango,Gorontalo,10000.0,Sedang,https://www.detik.com/sulsel/wisata/d-6872903/wisata-bumi-cerah-bone-bolango-keindahan-panorama-alam-dari-atas-bukit
Wisata Kapal Pinisi Makassar,"VC44+FR7 Sewa Kapal Pinisi, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",Kota Makassar,Sulawesi Selatan,0.0,Gratis,-
Istana KARST,"3JM2+V2F, Bontonlempangan, Kabupaten Maros",Kabupaten Maros,Sulawesi Selatan,2000.0,Murah,https://superapps.kompas.com/read/2927601/travel-update-jelajah-wisata-karst-tempat-wisata-di-maros-untuk-liburan-akhir-pekan
Air Terjun Sali Sali,"Unnamed Road, JF59+GF9, Sali Sali, Kec. Lembang, Kabupaten Pinrang, Sulawesi Selatan 91254, Indonesia",Kabupaten Pinrang,Sulawesi Selatan,-,-,-
Wisata Alam Panyili,"J5WP+RQ5, Panyili, Kec. Dua Boccoe, Kabupaten Bone, Sulawesi Selatan 92753, Indonesia",Kabupaten Bone,Sulawesi Selatan,5000.0,Murah,https://www.msn.com/id-id/berita/other/pantai-togeo-bonesulawesi-selatan-tiket-masuklokasi-and-panduan-rute/ar-AA1NZQpM
"Walimpong, Desa Barae","G24G+F68, Barae, Kec. Mario Riwawo, Kabupaten Soppeng, Sulawesi Selatan, Indonesia",Kabupaten Soppeng,Sulawesi Selatan,5000.0,Murah,https://www.tribunnews.com/travel/2016/04/13/pemandian-air-panas-lejja-objek-wisata-favorit-di-kabupaten-soppeng-ini-istimewanya
Wisata Goa Batu Maupa,"MQ2P+725, Salu Dewata, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan 91754, Indonesia",Kabupaten Enrekang,Sulawesi Selatan,13000.0,Sedang,https://travel.tribunnews.com/2025/02/03/dante-pine-tempat-wisata-murah-meriah-di-kabupaten-enrekang-sulawesi-selatan
Air terjun Kulung-Kulung,"6PVV+JJ, Wiau Lapi, Kec. Tareran, Kabupaten Minahasa Selatan, Sulawesi Utara, Indonesia",Kabupaten Minahasa Selatan,Sulawesi Utara,10000.0,Sedang,https://www.geokepo.id/id/lokasi/minahasa-selatan/air-terjun-kulung-kulung
Air Terjun Tolei,"7J3M+96Q, Desa, Tumpaan Baru, Kec. Tumpaan, Kabupaten Minahasa Selatan, Sulawesi Utara, Indonesia",Kabupaten Minahasa Selatan,Sulawesi Utara,29000.0,Mahal,https://travel.tribunnews.com/destinasi/141157/daya-tarik-harga-tiket-masuk-air-terjun-veranomata-di-morowali-sulawesi-tengah
