nama_wisata,kabupaten,provinsi,label_rekomendasi
Pantai Huntete,Kabupaten Wakatobi,Sulawesi Tenggara,Terbaik
Wisata Alam Biseang Labboro',Kabupaten Maros,Sulawesi Selatan,Buruk
Water Sport Objek Wisata Pantai Molotabu,Kabupaten Bone Bolango,Gorontalo,Terbaik
Confident Shop,Kota Kotamobagu,Sulawesi Utara,Sedang
Pantai Barat Sarudu,Kabupaten Pasangkayu,Sulawesi Barat,Baik
MANDUK PATINNA,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Goa Pamona,Kabupaten Poso,Sulawesi Tengah,Buruk
Desa Cahaya Biluhu Timur,Kabupaten Gorontalo,Gorontalo,Terbaik
Pantai Talawaan Bajo,Kabupaten Minahasa Utara,Sulawesi Utara,Sedang
Pantai Libuo,Kabupaten Pohuwato,Gorontalo,Sedang
Hutan Mangrove Monro-Monro,Kabupaten Jeneponto,Sulawesi Selatan,Baik
To'barana - Sa'dan,Kabupaten Toraja Utara,Sulawesi Selatan,Sedang
Pantai Bahari Kanipang,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Taman Kalong Watansoppeng,Kabupaten Soppeng,Sulawesi Selatan,Terbaik
Benteng TIWORO,Kabupaten Muna,Sulawesi Tenggara,Sedang
Air Terjun Lacolla,Kabupaten Maros,Sulawesi Selatan,Baik
Air Terjun Kalimalima,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Wisata Alam Panyili,Kabupaten Bone,Sulawesi Selatan,Baik
Pantai Tumpaan Sawangan,Kabupaten Minahasa,Sulawesi Utara,Baik
Bukit Kromo Leksono,Kabupaten Gorontalo,Gorontalo,Sedang
Puncak Meluhu,Kabupaten Konawe,Sulawesi Tenggara,Buruk
Pantai Mato,Kabupaten Banggai Laut,Sulawesi Tengah,Sedang
Pantai Taipa,Kabupaten Konawe Utara,Sulawesi Tenggara,Baik
Permandian Alam Air Panas Lemo Susu,Kabupaten Pinrang,Sulawesi Selatan,Buruk
Taman Batu Balloci,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Buruk
Siuri beach,Kabupaten Poso,Sulawesi Tengah,Baik
Ujung Lero Beach,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Desa Wisata Towale 2019,Kabupaten Donggala,Sulawesi Tengah,Terbaik
Pantai Barane Kiri,Kabupaten Majene,Sulawesi Barat,Buruk
Wisata Bintauna Beach,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Buruk
Pantai Tanjung Molinow,Kabupaten Minahasa Selatan,Sulawesi Utara,Sedang
Wisata Pasir Putih Pompon,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Baik
Lorong Lembang Bunga,Kabupaten Polewali Mandar,Sulawesi Barat,Terbaik
Pantai Indah Bosowa,Kota Makassar,Sulawesi Selatan,Sedang
Moncong Loka,Kabupaten Bantaeng,Sulawesi Selatan,Sedang
Gunung Sahendaruman,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Buruk
