nama_wisata,kabupaten,provinsi,label_rekomendasi
Air terjun Laliako,Kabupaten Sinjai,Sulawesi Selatan,Baik
Sou Raja Cagar Budaya Banua Oge,Kota Palu,Sulawesi Tengah,Sedang
Wisata Gua Panincong,Kabupaten Barru,Sulawesi Selatan,Baik
Lalove Land,Kota Palu,Sulawesi Tengah,Baik
Air Terjun Tattungo,Kabupaten Enrekang,Sulawesi Selatan,Sedang
Bukit Alam Kolagana,Kota Baubau,Sulawesi Tenggara,Terbaik
Tanjung Labora,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Pantai Salise Lembeh Utara Kota Bitung,Kota Bitung,Sulawesi Utara,Buruk
Saliran Beach,Kabupaten Kepulauan Talaud,Sulawesi Utara,Buruk
Pantai BMW,Kabupaten Konawe Utara,Sulawesi Tenggara,Buruk
Wisata Anjungan Teluk Kendari,Kota Kendari,Sulawesi Tenggara,Sedang
"Air Terjun Kalata, Buton",Kabupaten Buton,Sulawesi Tenggara,Baik
DESA DEAGA,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,Baik
Hutan Pinus Bulu Tanah,Kabupaten Bone,Sulawesi Selatan,Terbaik
Pantai Harapan Pajalele,Kabupaten Pinrang,Sulawesi Selatan,Baik
Kali Biru Mosolo,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Dermaga Padaria,Kabupaten Maros,Sulawesi Selatan,Buruk
Dusun Londa,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Air Terjun Pung Bunga Bonto Manurung,Kabupaten Maros,Sulawesi Selatan,Baik
Tebing Marumasa Kalibata,Kabupaten Bulukumba,Sulawesi Selatan,Sedang
Museum Balla Lompoa Bajeng,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Bukit Savana desa lenyek,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Pantai Ide,Kabupaten Luwu Timur,Sulawesi Selatan,Terbaik
Wisata Bahari Karamba Tarantula Uwedikan,Kabupaten Banggai,Sulawesi Tengah,Sedang
Wisata Panaikang Birayya #DarubiahKeren,Kabupaten Bulukumba,Sulawesi Selatan,Sedang
Bukit Matean Tina,Kabupaten Morowali,Sulawesi Tengah,Buruk
Kawasan Wisata Sou Bauta,Kabupaten Sigi,Sulawesi Tengah,Sedang
PANTAI KARANG EMPAT,Kabupaten Bombana,Sulawesi Tenggara,Sedang
I Love Minsel,Kabupaten Minahasa Selatan,Sulawesi Utara,Sedang
Agrowisata Pangimba Bumdesa Taluduyunu,Kabupaten Pohuwato,Gorontalo,Sedang
Pantai Mowuru,Kabupaten Buton Utara,Sulawesi Tenggara,Terbaik
Taman Wisata Pelangi,Kota Tomohon,Sulawesi Utara,Baik
Wisata Pemandian Air Panas Desa Lowian,Kabupaten Minahasa Selatan,Sulawesi Utara,Terbaik
Pantai Balojaha,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Baik
labengki Pasir Panjang,Kabupaten Konawe Utara,Sulawesi Tenggara,Terbaik
Casa de Lotus,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Air Terjun Tekaan Telu,Kota Tomohon,Sulawesi Utara,Sedang
Tongkonan Layuk Ma'dika Bori',Kabupaten Toraja Utara,Sulawesi Selatan,Buruk
Pemandian Air Panas Makula,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Pantai siw’one,Kabupaten Morowali,Sulawesi Tengah,Buruk
Pantai Makalisung,Kabupaten Minahasa,Sulawesi Utara,Baik
WISATA TAMAN CIBUTU,Kabupaten Bone Bolango,Gorontalo,Buruk
Tanjung Gundul,Kabupaten Banggai Laut,Sulawesi Tengah,Buruk
Birtaria Kassi,Kabupaten Jeneponto,Sulawesi Selatan,Buruk
Permandian Putri Wambona,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Danau Lemelu,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Terbaik
Pantai Batukarapu,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Sedang
Permandian Zahara Wisata Papandangan,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
Sara Island,Kabupaten Kepulauan Talaud,Sulawesi Utara,Terbaik
PANRITA HILL,Kabupaten Sinjai,Sulawesi Selatan,Baik
Situs Cagar Budaya Makam Maradindo,Kabupaten Sigi,Sulawesi Tengah,Sedang
Pantai Bambahano,Kabupaten Donggala,Sulawesi Tengah,Sedang
Puncak cinta kita,Kabupaten Soppeng,Sulawesi Selatan,Buruk
Pondok Budaya Ayus Piala,Kabupaten Luwu,Sulawesi Selatan,Sedang
"Bila Tungke, Jalur viral Soppeng",Kabupaten Soppeng,Sulawesi Selatan,Baik
Air Terjun Sambabo,Kabupaten Mamasa,Sulawesi Barat,Buruk
Rea Camping Ground,Kabupaten Mamuju Tengah,Sulawesi Barat,Terbaik
Papalimba Water Tourism Lapulu,Kota Kendari,Sulawesi Tenggara,Terbaik
Wisata Alam Lembah Cinta,Kabupaten Soppeng,Sulawesi Selatan,Terbaik
Lembah Piokang,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Terbaik
Pantai Salopi,Kabupaten Pinrang,Sulawesi Selatan,Sedang
"Pantai Salise ,Lembeh Utara Kota Bitung",Kota Bitung,Sulawesi Utara,Sedang
Air Terjun Bissappu,Kabupaten Bantaeng,Sulawesi Selatan,Baik
Danau Sanusi,Kabupaten Maros,Sulawesi Selatan,Sedang
Wisata Alam To'pinus Burasia,Kabupaten Tana Toraja,Sulawesi Selatan,Sedang
Lolai Tongkonan Tangke Honai Rangga,Kabupaten Toraja Utara,Sulawesi Selatan,Baik
Pantai Karosondaya,Kabupaten Parigi Moutong,Sulawesi Tengah,Buruk
Air Terjun Teka'an Tincep,Kabupaten Minahasa,Sulawesi Utara,Sedang
Pantai Wisata Lapeo,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
Wisata Kapal Pinisi Makassar,Kota Makassar,Sulawesi Selatan,Terbaik
Teratai Putih,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Sedang
TAMAN CALLACCU,Kabupaten Wajo,Sulawesi Selatan,Terbaik
Taman Maccini Sombala,Kota Makassar,Sulawesi Selatan,Terbaik
"Cagar Alam Batu Angus, Bitung",Kota Bitung,Sulawesi Utara,Buruk
Museum - Ziekenhuis - Mandar Majene,Kabupaten Majene,Sulawesi Barat,Baik
Taman Malahasa Kota Tahuna,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Baik
Air Terjun Doule,Kabupaten Buton Utara,Sulawesi Tenggara,Baik
Taman Uebone,Kabupaten Tojo Una-Una,Sulawesi Tengah,Sedang
Air Terjun Kaongkeongkea,Kabupaten Buton,Sulawesi Tenggara,Buruk
Kelapa Cabang,Kabupaten Buol,Sulawesi Tengah,Buruk
Air Terjun Salu Kata,Kabupaten Toraja Utara,Sulawesi Selatan,Buruk
Suaya,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Pango Pango Eco Green Park,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Ekowisata Mangrove Desa Bahoi,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Pantai poltra,Kabupaten Bombana,Sulawesi Tenggara,Buruk
Pantai Amine wa Myriem,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Mangrove Park Tiwoho,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Lante-lante,Kabupaten Luwu Utara,Sulawesi Selatan,Buruk
Wisata Batu Tangnga,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Buruk
Cliff One Waara,Kabupaten Buton,Sulawesi Tenggara,Baik
Taman Bambu Runcing,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
Pantai Balo Balo,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Kampung Wisata Alam Bolopaniki,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Kampung Wisata KBS,Kabupaten Mamasa,Sulawesi Barat,Terbaik
Bukit Ceria,Kabupaten Bone Bolango,Gorontalo,Buruk
Benteng Keraton Kesultanan Buton (Negeri Khalifatul Khamis),Kota Baubau,Sulawesi Tenggara,Terbaik
Lapangan Pancasila palopo,Kota Palopo,Sulawesi Selatan,Sedang
Pantai Tanjung Babia Pasangkayu,Kabupaten Pasangkayu,Sulawesi Barat,Terbaik
WISATA DANAU MOAT,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Baik
Bolo lia 1,Kabupaten Donggala,Sulawesi Tengah,Terbaik
Sumur Waranie Palakka,Kabupaten Bone,Sulawesi Selatan,Buruk
Kampung Kreasi Lowita,Kabupaten Pinrang,Sulawesi Selatan,Baik
Gong Perdamaian,Kota Palu,Sulawesi Tengah,Terbaik
Tahuna Waterpark & Sport Center,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Buruk
Air terjun taluditi,Kabupaten Pohuwato,Gorontalo,Terbaik
Hutan Bakau Desa Koya Kabupaten Morowali Utara,Kabupaten Morowali Utara,Sulawesi Tengah,Buruk
Tedong-tedong Minanga,Kabupaten Mamasa,Sulawesi Barat,Sedang
Danau Tambing,Kabupaten Sigi,Sulawesi Tengah,Baik
Aula Wisata Mangrove Matansala,Kabupaten Morowali,Sulawesi Tengah,Buruk
Makam Sultan Murhum,Kota Baubau,Sulawesi Tenggara,Sedang
Buttu Dakka,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Monumen Patung Lakipadada,Kabupaten Tana Toraja,Sulawesi Selatan,Baik
Air Terjun Kanari,Kota Baubau,Sulawesi Tenggara,Terbaik
Wisata Bukit Asam sibedi,Kabupaten Sigi,Sulawesi Tengah,Buruk
Matantahi,Kabupaten Buton Utara,Sulawesi Tenggara,Terbaik
CitraLand Waterpark,Kota Kendari,Sulawesi Tenggara,Buruk
Pantai Lakban Ratatotok,Kabupaten Minahasa Tenggara,Sulawesi Utara,Baik
Pantai Puuloro,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Bongkone Kenari,Kota Manado,Sulawesi Utara,Buruk
New Sampulungan Beach,Kabupaten Takalar,Sulawesi Selatan,Terbaik
"Mata air Bura-bura, Matano",Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Tracking Mangrove Lahundape,Kota Kendari,Sulawesi Tenggara,Buruk
Pantai Garassi Desa Nepo,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
Bukit Bulotalangi,Kabupaten Bone Bolango,Gorontalo,Sedang
Hidden Paradise Minahasa,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Ujung Tape,Kabupaten Pinrang,Sulawesi Selatan,Baik
Monumen Misionaris Johann G Schwarz Langowan,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Pantai Toromaginti,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Pantai,Kota Makassar,Sulawesi Selatan,Baik
Pangngalleang toppa',Kabupaten Gowa,Sulawesi Selatan,Terbaik
Tempat Wisata LOS ( Lorong Orang Sanger ),Kota Manado,Sulawesi Utara,Sedang
Tunan Waterfalls,Kabupaten Minahasa Utara,Sulawesi Utara,Baik
GPI Waterpark,Kota Manado,Sulawesi Utara,Buruk
Wisata Kampung Galung,Kabupaten Sinjai,Sulawesi Selatan,Baik
Talaga Lotus woloan tomohon,Kota Tomohon,Sulawesi Utara,Sedang
Kincir Angin PLTB,Kabupaten Jeneponto,Sulawesi Selatan,Baik
Kawasan Adat Kajang Ammatoa,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
bukit patene,Kabupaten Maros,Sulawesi Selatan,Sedang
Wisata Bukit Arang Gorontalo,Kabupaten Bone Bolango,Gorontalo,Terbaik
Bendungan desa tabumela,Kabupaten Gorontalo,Gorontalo,Sedang
Pantai Lakeba,Kota Baubau,Sulawesi Tenggara,Terbaik
Air Terjun Tolondo Tallu,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Patung Bogani,Kota Kotamobagu,Sulawesi Utara,Terbaik
Pasir Putih Tolala,Kabupaten Kolaka Utara,Sulawesi Tenggara,Terbaik
Kawasan Wisata Pantai Surabaya,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Pantai Kelapa Lima Desa Paputungan,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Air Terjun Andawe,Kabupaten Konawe,Sulawesi Tenggara,Baik
Pantai Malaha,Kabupaten Kolaka,Sulawesi Tenggara,Baik
Air Terjun Kandawu Ndawuna,Kabupaten Buton,Sulawesi Tenggara,Baik
Air terjun muntoi( DAKOL ),Kabupaten Bolaang Mongondow,Sulawesi Utara,Buruk
Air Terjun Maccading,Kabupaten Bone,Sulawesi Selatan,Baik
Gunung Rantekombola,Kabupaten Tana Toraja,Sulawesi Selatan,Sedang
Pantai Embuhanga,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Sedang
Malahi Beach,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Terbaik
Pulau Kodingareng Keke,Kota Makassar,Sulawesi Selatan,Buruk
AIR TERJUN & PANDAI BESI BARUTTUNG,Kabupaten Sinjai,Sulawesi Selatan,Baik
Benteng Lipu Kulisusu,Kabupaten Buton Utara,Sulawesi Tenggara,Terbaik
Bendungan Loko,Kabupaten Buton,Sulawesi Tenggara,Baik
Buntu Sinaji,Kabupaten Tana Toraja,Sulawesi Selatan,Terbaik
Air Terjun Lagandang,Kabupaten Enrekang,Sulawesi Selatan,Baik
Bukit ilham Wosu,Kabupaten Morowali,Sulawesi Tengah,Buruk
Tongkonan Buntu,Kabupaten Toraja Utara,Sulawesi Selatan,Buruk
BUKIT ANUGERAH BULO,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
Pantai Labengki Kecil,Kabupaten Konawe Utara,Sulawesi Tenggara,Buruk
PANTAI BONDU BONDU,Kabupaten Konawe Selatan,Sulawesi Tenggara,Buruk
Pantai Tanjung,Kabupaten Muna,Sulawesi Tenggara,Buruk
Tampaure Beach,Kabupaten Pasangkayu,Sulawesi Barat,Sedang
Pantai Batu Buaya,Kabupaten Boalemo,Gorontalo,Sedang
Benteng Moraya,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Pantai Mandel,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Sedang
Wisata Bukit teletubbies,Kabupaten Jeneponto,Sulawesi Selatan,Buruk
Taman Mattirotasi,Kota Parepare,Sulawesi Selatan,Terbaik
Pantai Baurung,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Pantai Pulisan,Kabupaten Minahasa Utara,Sulawesi Utara,Buruk
Gunung Empung,Kabupaten Minahasa,Sulawesi Utara,Buruk
Pantai Samboang,Kabupaten Bulukumba,Sulawesi Selatan,Baik
PULAU SABANG TENDE,Kabupaten Tolitoli,Sulawesi Tengah,Sedang
BUKIT NIZAM,Kabupaten Mamuju,Sulawesi Barat,Terbaik
PANTAI TOMBAWATU,Kabupaten Konawe,Sulawesi Tenggara,Baik
Pantai Lemo,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Air Terjun Kembar Desa Barambang,Kabupaten Sinjai,Sulawesi Selatan,Sedang
KOTAMOBAGU,Kota Kotamobagu,Sulawesi Utara,Sedang
Taman Segitiga,Kabupaten Pohuwato,Gorontalo,Terbaik
Pantai Kapuk Toboli,Kabupaten Parigi Moutong,Sulawesi Tengah,Buruk
Pantai El-Shaddai,Kabupaten Bolaang Mongondow,Sulawesi Utara,Sedang
Pantai Pelelangan Ikan Maccini Baji,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Terbaik
Pantai Kampung Nelayan,Kota Palu,Sulawesi Tengah,Baik
BULALOVE,Kabupaten Boalemo,Gorontalo,Buruk
Danau Linow,Kota Tomohon,Sulawesi Utara,Terbaik
Kolam Renang Landmark LUWU TIMUR,Kabupaten Luwu Timur,Sulawesi Selatan,Sedang
Taman Teratai,Kota Kendari,Sulawesi Tenggara,Terbaik
Pantai Lilito,Kabupaten Buol,Sulawesi Tengah,Buruk
Pantai Desa Bahari,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Anjungan MARISA CITY,Kabupaten Pohuwato,Gorontalo,Terbaik
Keraton Banggai,Kabupaten Banggai Laut,Sulawesi Tengah,Baik
Permandian Rindu Alam Apala,Kabupaten Bone,Sulawesi Selatan,Sedang
Air Terjun Salewangang Malino,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Wisata Puncak Maradadi,Kota Baubau,Sulawesi Tenggara,Buruk
Air Terjun Ogololo,Kabupaten Donggala,Sulawesi Tengah,Buruk
Menara Pandang Paralayang Wayu,Kabupaten Sigi,Sulawesi Tengah,Sedang
Wisata JatiLodungga,Kabupaten Gorontalo,Gorontalo,Buruk
Al Azhar Beach Camp,Kabupaten Donggala,Sulawesi Tengah,Terbaik
Pantai Siuone pekaloa Towuti,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Bahari Nusantara Mosso Mario,Kabupaten Majene,Sulawesi Barat,Sedang
Danau Tendetung,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Terbaik
Pantai Ujung Tiro,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Buttu Lanjanan,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Bintang bahari,Kabupaten Morowali,Sulawesi Tengah,Buruk
Wisata Alam Lewaja,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Manado Skyline Tetempangan Hill,Kabupaten Minahasa,Sulawesi Utara,Sedang
BUKIT KEMBAR,Kabupaten Pohuwato,Gorontalo,Buruk
"Puncak Tonsile, Sulawesi Utara",Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,Baik
Taman Wisata Alam Danau Towuti,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
PUNCAK SOROMBIPI,Kabupaten Kolaka,Sulawesi Tenggara,Buruk
Wisata Pondok Kelapa,Kabupaten Bone,Sulawesi Selatan,Sedang
Pantai Racuna,Kabupaten Kepulauan Talaud,Sulawesi Utara,Terbaik
Wisata Alam Batu Poopi,Kota Baubau,Sulawesi Tenggara,Buruk
Taman Kota Fonuasingko,Kabupaten Morowali,Sulawesi Tengah,Buruk
Pantai Losari,Kota Makassar,Sulawesi Selatan,Terbaik
Goa Tokubet,Kabupaten Banggai Laut,Sulawesi Tengah,Buruk
Puncak Dipomelo Pindan,Kabupaten Toraja Utara,Sulawesi Selatan,Terbaik
Bukit Kasih Kanonang,Kabupaten Minahasa,Sulawesi Utara,Baik
Air Terjun Ayuhulalo,Kabupaten Boalemo,Gorontalo,Baik
Makam Jera Lompoe,Kabupaten Soppeng,Sulawesi Selatan,Buruk
Narwastu Hills Resort,Kota Tomohon,Sulawesi Utara,Terbaik
Pantai Namu,Kabupaten Konawe Selatan,Sulawesi Tenggara,Buruk
BUMDes TORJA,Kabupaten Pohuwato,Gorontalo,Terbaik
Lambangan Pauno,Kabupaten Banggai Laut,Sulawesi Tengah,Baik
Taman Turatea,Kabupaten Jeneponto,Sulawesi Selatan,Baik
Palopo City,Kota Palopo,Sulawesi Selatan,Buruk
Wisata Air Terjun Matube desa lampa,Kabupaten Banggai Laut,Sulawesi Tengah,Terbaik
Lego Lego Sarrea,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Pantai Oyama,Kabupaten Banggai Laut,Sulawesi Tengah,Buruk
Tongkonan Ranteallo,Kabupaten Toraja Utara,Sulawesi Selatan,Sedang
Pasir Timbul,Kabupaten Banggai Laut,Sulawesi Tengah,Buruk
"Bukit WALEPOSAN, Lembean",Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Makam Raja Lakidende,Kabupaten Konawe,Sulawesi Tenggara,Sedang
Pantai Ujung Suso,Kabupaten Luwu Timur,Sulawesi Selatan,Sedang
Wisata Pantai Tanjung Dulang,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Buruk
Air terjun mawulelen pinaras,Kota Tomohon,Sulawesi Utara,Sedang
Kamali Boneaka,Kabupaten Banggai Laut,Sulawesi Tengah,Buruk
Paisu Matano Tatakalai,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Sedang
Hutan Pinus Lenong,Kabupaten Mamasa,Sulawesi Barat,Sedang
Bukit Tokka Moncongloe,Kabupaten Maros,Sulawesi Selatan,Sedang
Air Terjun Ketemu Jodoh,Kabupaten Gowa,Sulawesi Selatan,Baik
D'MOANGA RESORT,Kabupaten Buol,Sulawesi Tengah,Sedang
Pantai Talise,Kota Palu,Sulawesi Tengah,Terbaik
Pantai Jodoh,Kabupaten Bone,Sulawesi Selatan,Sedang
Pantai Nelayan Desa Long,Kabupaten Donggala,Sulawesi Tengah,Sedang
Liang Tarrusu,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Sedang
Pantai Labuan,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Sedang
Laburang Gallang,Kabupaten Enrekang,Sulawesi Selatan,Baik
Air Terjun Kona Rattekallang,Kabupaten Polewali Mandar,Sulawesi Barat,Baik
Monumen Lasinrang,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Tanjung biru,Kota Makassar,Sulawesi Selatan,Sedang
"Pantai Kacinaan, Kab. Buton.",Kabupaten Buton,Sulawesi Tenggara,Baik
Wisata Embung Paccekke,Kabupaten Barru,Sulawesi Selatan,Baik
Air Terjun Bantimurung Gallang,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Taman Rekreasi Puncak Mowewe,Kabupaten Kolaka Timur,Sulawesi Tenggara,Terbaik
Pantai Lombang Lombang,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Mattirotasi beach,Kota Parepare,Sulawesi Selatan,Sedang
PANTAI HUTAKALO,Kabupaten Gorontalo Utara,Gorontalo,Terbaik
Pantai Taman Ria,Kota Palu,Sulawesi Tengah,Buruk
Air Terjun Loli Tasiburi,Kabupaten Donggala,Sulawesi Tengah,Sedang
Pantai Batu Pinagut,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Baik
Monumen Trikora Salakan,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Terbaik
Air Terjun Lamassua,Kabupaten Barru,Sulawesi Selatan,Baik
WISATA HUTAN PINUS TANGKALAKA,Kabupaten Gowa,Sulawesi Selatan,Buruk
"Danau ""Cinta"" Makalehi",Kabupaten Kepulauan Siau Tagulandang Biaro,Sulawesi Utara,Baik
Kebun Raya Jompie Kota Parepare,Kota Parepare,Sulawesi Selatan,Terbaik
WISATA SALUKAILI,Kabupaten Pasangkayu,Sulawesi Barat,Terbaik
Pantai Lamalaka,Kabupaten Bantaeng,Sulawesi Selatan,Buruk
Masjid Agung Kolaka Utara,Kabupaten Kolaka Utara,Sulawesi Tenggara,Terbaik
Pantai Galau,Kabupaten Sinjai,Sulawesi Selatan,Buruk
Taman Literasi dan Adipura Kolaka Utara,Kabupaten Kolaka Utara,Sulawesi Tenggara,Terbaik
Chimoki Beach,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Sedang
Goa Allo,Kabupaten Morowali,Sulawesi Tengah,Baik
Batu Susun,Kabupaten Buol,Sulawesi Tengah,Buruk
Danau Motonuno,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Kawah Gunung Lokon,Kabupaten Minahasa,Sulawesi Utara,Baik
Pantai Kire,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Wisata pantai kaisomaru,Kota Gorontalo,Gorontalo,Sedang
Rumah Adat Sao Mario,Kabupaten Soppeng,Sulawesi Selatan,Terbaik
Bukit Teletubbies,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Museum La Galigo,Kota Makassar,Sulawesi Selatan,Baik
Lolai Tongkonan Lempe,Kabupaten Toraja Utara,Sulawesi Selatan,Terbaik
Permandian Wakantee,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Lorong 3 Wisata Pantai Botutonuo,Kabupaten Bone Bolango,Gorontalo,Buruk
permandian toronipa,Kabupaten Konawe,Sulawesi Tenggara,Buruk
Pantai Gusung Indah,Kabupaten Takalar,Sulawesi Selatan,Buruk
Kelapa Tujuh,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Wisata Pohon Cinta,Kabupaten Pohuwato,Gorontalo,Terbaik
Wisata Taman Bunga R.A,Kabupaten Boalemo,Gorontalo,Buruk
Pantai Kaluku,Kabupaten Donggala,Sulawesi Tengah,Sedang
Masolo Perbatasan,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Malalayang Beach Walk,Kota Manado,Sulawesi Utara,Terbaik
Air terjun fire keeper,Kabupaten Toraja Utara,Sulawesi Selatan,Buruk
TAHURA Abdul Latief,Kabupaten Sinjai,Sulawesi Selatan,Sedang
Zalza Beach,Kabupaten Tolitoli,Sulawesi Tengah,Terbaik
Menara Mercusuar Pulau Miangas Indonesia,Kabupaten Kepulauan Talaud,Sulawesi Utara,Buruk
Pantai Tanjung Barat Barombong,Kota Makassar,Sulawesi Selatan,Baik
Air Terjun Kembar Kara'ngasa,Kabupaten Bantaeng,Sulawesi Selatan,Buruk
Lakasa Cave,Kota Baubau,Sulawesi Tenggara,Buruk
Twin Lagoon,Kabupaten Konawe Utara,Sulawesi Tenggara,Terbaik
Pantai MHG,Kabupaten Barru,Sulawesi Selatan,Terbaik
Taman Jet Tempur,Kabupaten Wajo,Sulawesi Selatan,Sedang
Swedy Beach Tambea,Kabupaten Kolaka,Sulawesi Tenggara,Buruk
Objek Wisata Gunung Tambolang,Kabupaten Toraja Utara,Sulawesi Selatan,Terbaik
Pantai Motto,Kota Bitung,Sulawesi Utara,Buruk
Tuur Ma'asering Kumelembuai Tomohon,Kota Tomohon,Sulawesi Utara,Terbaik
Gua Balojaha,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Terbaik
Pulau Idaman Boalemo (Eks Pulo Mohupomba),Kabupaten Boalemo,Gorontalo,Sedang
Taman Pantai Bone Baru,Kabupaten Banggai Laut,Sulawesi Tengah,Baik
Bonto Massailea,Kabupaten Bulukumba,Sulawesi Selatan,Sedang
PANTAI WAIKESA,Kabupaten Wakatobi,Sulawesi Tenggara,Terbaik
Hutan Mangrove,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Sedang
Pantai Appatanah,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Baik
Puncak Botubarani,Kabupaten Bone Bolango,Gorontalo,Baik
Alun-Alun Pantai Seruni,Kabupaten Bantaeng,Sulawesi Selatan,Terbaik
Pantai Mahembang,Kabupaten Minahasa,Sulawesi Utara,Sedang
Wisata Jembatan Lingkar,Kabupaten Buton,Sulawesi Tenggara,Buruk
Buttu Macca,Kabupaten Enrekang,Sulawesi Selatan,Sedang
Wisata Puncak Laine,Kabupaten Kepulauan Siau Tagulandang Biaro,Sulawesi Utara,Sedang
Bira Point Of View(one piece),Kabupaten Bulukumba,Sulawesi Selatan,Baik
Pantai Kampa,Kabupaten Buton Utara,Sulawesi Tenggara,Terbaik
Dusun Burau Pantai,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Taman Kota I Love Palopo,Kota Palopo,Sulawesi Selatan,Terbaik
Kolam pattirotiroang,Kabupaten Sinjai,Sulawesi Selatan,Buruk
Anjungan Pantai Manakarra,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Goa Lanto,Kota Baubau,Sulawesi Tenggara,Buruk
Air Terjun Bantimurung Bone-Bone,Kabupaten Luwu Utara,Sulawesi Selatan,Sedang
Gua Susundeng,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Terbaik
Pantai taipa,Kabupaten Luwu Timur,Sulawesi Selatan,Sedang
Bukit wisata Miallo,Kabupaten Enrekang,Sulawesi Selatan,Sedang
Bukit Pusera,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Sedang
Pantai Widodo,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Boneoge Beach,Kabupaten Donggala,Sulawesi Tengah,Terbaik
